병원이름,,,주소,전화번호,좌표(X),좌표(Y)
서재연합의원,경기,평택시,"경기도 평택시 서재로 2, 한주빌딩 3층 (동삭동)",031-691-5213,127.0988015,37.0098798
서정성세의원,경기,평택시,"경기도 평택시 서정북로 75, (서정동)",031-663-0010,127.0577249,37.070941
서정튼튼정형외과의원,경기,평택시,"경기도 평택시 서정역로26번길 3, 4층 (서정동)",031-8054-7585,127.0559312,37.056473
서정하이비인후과의원,경기,오산시,"경기도 오산시 오산로 224, (오산동)",031-372-1664,127.0686645,37.1468555
서현석정형외과의원,경기,오산시,"경기도 오산시 오산로 209, 4,9층 (오산동)",304-1119,127.0681826,37.1454049
성가의원,경기,안성시,"경기도 안성시 장기로 39, (인지동)",031-676-4057,127.2680406,37.0056702
성모가정의원,경기,안성시,"경기도 안성시 공도읍 진사길 23, 2층 (광동아이비타운)",031-654-7511,127.1390034,36.9922747
성모사랑내과의원,경기,평택시,"경기도 평택시 지제동삭2로 181-26, Adriamedi Tower 3층 303,304호 (동삭동)",031-8054-7579,127.0941633,37.0172424
성모유외과의원,경기,평택시,"경기도 평택시 비전2로 194, 소사벌 어반테라스 2층 (비전동)",031-8054-7511,127.1121155,37.0007641
성모의원,경기,안성시,"경기도 안성시 죽산면 죽주로 256, (죽산면)",031-675-0644,127.4237146,37.0750166
성모자혜의원,경기,평택시,"경기도 평택시 서정역로36번길 11-3, (서정동)",031-611-2432,127.0564983,37.0576289
성모힐소아청소년과의원,경기,평택시,"경기도 평택시 세교8길 30, 세교디오네프라자 407호 (세교동)",031-652-5900,127.0907222,37.0090505
성심가정의원,경기,안성시,"경기도 안성시 금광면 종합운동장로 132, 2층 (홍익(아)상가)",031-671-3775,127.330016,37.0110738
세교본정형외과의원,경기,오산시,"경기도 오산시 초평중앙로 127-4, 2,3층 (가수동)",031-376-7582,127.0476779,37.1437971
세교삼성내과의원,경기,오산시,"경기도 오산시 수목원로 458, 5층 (금암동)",031-377-1919,127.0505166,37.1747417
세교서울이비인후과의원,경기,오산시,"경기도 오산시 내삼미로79번길 11, 2층 207,208호 (수청동, 선우중앙타워)",031-373-3993,127.065276,37.1690388
세교센트럴이비인후과의원,경기,오산시,"경기도 오산시 죽담안로 38-15, 2층 201~204호 (궐동)",031-377-7836,127.0521088,37.1636716
세교아주소아청소년과의원,경기,오산시,"경기도 오산시 수청로 189, 402,403호 (금암동, 웅신아트프라자)",374-7540,127.0459084,37.1768205
세교정형외과의원,경기,오산시,"경기도 오산시 수청로 189, 5층 (금암동, 웅신아트프라자)",377-7680,127.0459084,37.1768205
세교중앙내과의원,경기,오산시,"경기도 오산시 수청로 189, 601,602호 (금암동, 웅신아트프라자)",031-378-6543,127.0459084,37.1768205
세민신경과의원,경기,평택시,"경기도 평택시 평택2로 12-1, (평택동)",031-656-0525,127.0881393,36.9926581
센트럴이비인후과의원,경기,평택시,"경기도 평택시 용죽3로 24, 202호일부, 301호 (용이동)",031-653-7417,127.1254147,36.9941062
소망의원,경기,평택시,"경기도 평택시 팽성읍 안정쇼핑로 37-1, 4층일부,5층",031-691-7588,127.0462214,36.9612273
소망의원,경기,안성시,"경기도 안성시 양성면 만세로 608, (양성면)",031-674-9977,127.1961617,37.0582875
소사벌다시봄날의원,경기,평택시,"경기도 평택시 평남로 941, 우성메디피아 6층 601호,602호 (비전동)",031-653-6111,127.1041729,37.0046213
소사벌휴먼피부과의원,경기,평택시,"경기도 평택시 비전5로 20-24, 더테라스 1동 3층 303~308호, 311호호 (비전동)",031-653-0046,127.1141665,36.9988747
속편한내과의원,경기,평택시,"경기도 평택시 평택로32번길 21, 2층 (평택동)",031-656-1088,127.0887825,36.9912767
속편한내과의원,경기,오산시,"경기도 오산시 경기대로 189, 메딕프라자 1동 3층 301,302,303,304호 (원동)",377-3330,127.0730417,37.1417861
속편한주내과의원,경기,평택시,"경기도 평택시 고덕로 246, 6층 (고덕동)",031-615-4455,127.0278885,37.0359967
송승호내과의원,경기,평택시,"경기도 평택시 서정역로 28, 2층 (서정동)",031-611-2536,127.0559957,37.0566621
송이비인후과의원,경기,오산시,"경기도 오산시 운암로 91, 지하층 (오산동, 주공2단지상가)",031-377-7785,127.0772713,37.1544824
송정길내과의원,경기,평택시,"경기도 평택시 중앙로 8, (통복동)",031-652-7114,127.0840157,36.9952215
송철용의원,경기,오산시,"경기도 오산시 발안로 1355, (누읍동, 이림아파트상가)",031-374-9450,127.0472814,37.1415854
송탄바른마취통증의학과의원,경기,평택시,"경기도 평택시 탄현로 334, 1,2층 (지산동)",031-665-7588,127.0565304,37.0818636
송탄베스트의원,경기,평택시,"경기도 평택시 탄현로 322, (지산동)",031-663-7582,127.0560556,37.0809773
송탄성모안과의원,경기,평택시,"경기도 평택시 탄현로327번길 8, 2층3층 (신장동)",031-666-0996,127.0555174,37.0815581
송탄성모정신건강의학과의원,경기,평택시,"경기도 평택시 관광특구로 41, 용현빌딩 201호 (서정동)",031-662-7577,127.0634225,37.0670089
송탄안과의원,경기,평택시,"경기도 평택시 탄현로 321-1, (신장동)",031-664-6100,127.055607,37.0811708
송탄오케이의원,경기,평택시,"경기도 평택시 탄현로 341, 2층 (신장동)",031-615-4655,127.0565695,37.0826992
송탄정신건강의학과의원,경기,평택시,"경기도 평택시 송탄공원로 72-1, 2층 (지산동)",031-666-9620,127.0575001,37.0746961
송탄정형외과의원,경기,평택시,"경기도 평택시 탄현로 281, (신장동)",031-666-4801,127.0551652,37.0776542
송탄하나안과의원,경기,평택시,"경기도 평택시 관광특구로 19, 207호 (서정동)",031-665-2299,127.0609138,37.0672656
수비뇨기과의원,경기,평택시,"경기도 평택시 안중읍 안중로 124-1, 2층",031-681-1684,126.9303118,36.9886036
수원구치소 평택지소 부속의원,경기,평택시,"경기도 평택시 평남로 1036, (동삭동)",031-650-5875,127.0967558,37.0105006
수이비인후과의원,경기,오산시,"경기도 오산시 성호대로 121, 월드타워 4층 404호 (오산동)",031-373-9275,127.0748375,37.1490571
숨앤잠이비인후과의원,경기,오산시,"경기도 오산시 죽담3로 6, 4층 404,405호 (궐동)",,127.0504457,37.1636863
스노우의원평택고덕점,경기,평택시,"경기도 평택시 고덕국제7로 117, 604호 ~ 606호 (고덕동)",031-668-8580,127.0297614,37.0351969
스마일가정의학과의원,경기,평택시,"경기도 평택시 신촌2로 22, B동 401,402,403호 (칠원동)",031-668-7801,127.1040567,37.0260471
아나픈마취통증의학과의원,경기,평택시,"경기도 평택시 통복로 49-1, 2층 (통복동)",031-692-1981,127.0832154,36.9964399
아라온여성의원,경기,평택시,"경기도 평택시 고덕중앙로 200-4, 우성고덕타워 510,511,512호 (고덕동)",031-8054-7988,127.0442098,37.0477733
아산소리이비인후과의원,경기,평택시,"경기도 평택시 지제동삭2로 181-24, 201호 일부, 203호, 204호 (동삭동)",031-8054-7731,127.0937686,37.0168881
아산튼튼신경외과의원,경기,오산시,"경기도 오산시 수청로 193, 2층 203호, 204호 (금암동)",031-377-0160,127.0455185,37.1766517
아이맘한사랑의원,경기,평택시,"경기도 평택시 안중읍 안현로서6길 44, 2층",031-684-6384,126.9247467,36.9848019
아이봄소아청소년과의원,경기,평택시,"경기도 평택시 고덕갈평6길 29, 304호,305,호,306호,307호,308호 (고덕동)",031-647-0806,127.0474399,37.0573027
아이엠내과의원,경기,안성시,"경기도 안성시 중앙로 374, (서인동)",031-672-8575,127.2683648,37.0075246
아이오르의원,경기,오산시,"경기도 오산시 대원로 30, 3층 304,305,306호 (원동)",031-372-2232,127.071772,37.1461194
아주베스트의원,경기,오산시,"경기도 오산시 부산중앙로 25-6, 2층 201,202호 (부산동)",031-372-8279,127.0907427,37.1509103
아주사랑마취통증의학과의원,경기,오산시,"경기도 오산시 수청로 189, 201호 (금암동, 웅신아트프라자)",031-372-1275,127.0459084,37.1768205
아주의원,경기,평택시,"경기도 평택시 고덕갈평5길 32, 그랜드메디컬타워 405호 (고덕동)",031-663-2041,127.0474102,37.0565574
아주척마디의원,경기,평택시,"경기도 평택시 평남로 941, 우성메디피아 501,502호 (비전동)",031-615-4555,127.1041729,37.0046213
안성바로본365의원,경기,안성시,"경기도 안성시 아양1로 77-25, 폴리프라자 208-215호 (옥산동)",031-671-0365,127.2584884,37.0070874
안성밝은안과의원,경기,안성시,"경기도 안성시 중앙로 376, (서인동)",031-675-0975,127.2686397,37.0075707
안성신통마취통증의학과의원,경기,안성시,"경기도 안성시 내혜홀2길 86, (아양동)",031-671-8275,127.2668247,37.0062668
안성연세의원,경기,안성시,"경기도 안성시 공도읍 공도로 132, 3층 (골드일번가)",653-5579,127.1748973,37.0014237
안성의료복지사회적협동조합 서안성의원,경기,안성시,"경기도 안성시 공도읍 승두길 40, 40",031-651-6121,127.1711702,36.9986754
안성의료복지사회적협동조합안성농민의원,경기,안성시,"경기도 안성시 중앙로371번길 13, 2,3층 (석정동)",031-675-0227,127.2683222,37.0083893
안성의료복지사회적협동조합우리동네의원,경기,안성시,"경기도 안성시 대학로 65, 1층 (당왕동)",031-671-9157,127.2662499,37.0142501
안성제일정형외과의원,경기,안성시,"경기도 안성시 중앙로372번길 37-15, 1층 (서인동)",031-673-2119,127.2683422,37.0062103
안성탑튼튼의원,경기,안성시,"경기도 안성시 중앙로 374, 302~305호 (서인동)",031-672-8288,127.2683648,37.0075246
안성한주의원,경기,안성시,"경기도 안성시 물방아거리길 6, (인지동)",031-674-7501,127.2689799,37.0049966
안성햇살의원,경기,안성시,"경기도 안성시 중앙로 374, 메디스퀘어 1동 9, 10층 전호 (서인동)",031-8057-8995,127.2683648,37.0075246
안정우리들의원,경기,평택시,"경기도 평택시 팽성읍 안정쇼핑로 41-1, 41",031-658-8337,127.0465456,36.9615132
안준석마취통증의학과의원,경기,평택시,"경기도 평택시 평택로 78, 2층 (평택동)",031-658-0034,127.0850712,36.9939845
안중밝은안과의원,경기,평택시,"경기도 평택시 안중읍 안현로 300, 안중 메디컬타워",031-684-0067,126.9253762,36.9777793
안중산부인과의원,경기,평택시,"경기도 평택시 안중읍 안중로131번길 14-15, (안중읍)",031-683-7366,126.9295846,36.9900749
안중오안과의원,경기,평택시,"경기도 평택시 안중읍 안현로 417, 세정빌딩 2층 201호",031-681-0248,126.9312741,36.9873103
안창욱항외과의원,경기,오산시,"경기도 오산시 경기대로 154, 패션 폴라리스 302,303,308호 (원동)",031-374-2446,127.0738662,37.1384985
압구정뷰앤미의원,경기,평택시,"경기도 평택시 중앙2로 13, 센텀스카이빌딩 8층 802호 (평택동)",031-655-7588,127.0886955,36.9919135
양생의원,경기,오산시,"경기도 오산시 운천로 76, 301호 (오산동, 한마음빌딩)",031-372-7666,127.074778,37.1495428
에비뉴의원,경기,평택시,"경기도 평택시 평택2로 30, 2층, 301호 (평택동)",031-692-3777,127.0897024,36.9935416
엠디피부과의원,경기,평택시,"경기도 평택시 평택1로 4, (평택동)",031-655-5151,127.0870848,36.9923655
엠비여성의원,경기,오산시,"경기도 오산시 오산로 185, 2,3층 (오산동)",031-378-2123,127.0683513,37.1433806
엠에스안과의원,경기,평택시,"경기도 평택시 고덕중앙로 218, 우성메디컬센터 705-710호 (고덕동)",031-616-1001,127.0449637,37.0478984
연세가정의원,경기,평택시,"경기도 평택시 관광특구로 37, 3층 (서정동)",031-668-6231,127.0630281,37.0670743
연세누리소아청소년과의원,경기,평택시,"경기도 평택시 상서재로 55, 근생1동 02,03호 (동삭동, 평택센트럴자이 3단지)",031-647-3373,127.1006734,37.0214999
연세다봄의원,경기,평택시,"경기도 평택시 동삭1로22번길 19-17, 메인프라자 2층 206,207호 (동삭동)",031-691-8131,127.0930221,37.0206347
연세드림안과의원,경기,오산시,"경기도 오산시 경기대로 155, 402호 (원동, 신한프라자 에이)",031-378-7540,127.0731132,37.1386476
연세로이외과의원,경기,평택시,"경기도 평택시 평택5로20번길 38, 4-6층 (합정동)",031-647-6772,127.1138885,36.9899572
연세마취통증의학과의원,경기,평택시,"경기도 평택시 안중읍 안현로 417, 세정빌딩 3층",031-684-7582,126.9312741,36.9873103
연세바른내과의원,경기,평택시,"경기도 평택시 세교7길 52, 2,3층 (세교동)",031-8054-7591,127.0894784,37.0064669
연세소울정신건강의학과의원,경기,평택시,"경기도 평택시 용죽5길 6-28, JEJ TOWER 6층 601호 (용이동)",031-656-0345,127.12607,36.9925896
연세수정형외과의원,경기,평택시,"경기도 평택시 세교8길 30, 세교디오네프라자 4층 403,404,405,406호 (세교동)",031-654-7100,127.0907222,37.0090505
연세아산산부인과의원,경기,안성시,"경기도 안성시 중앙로 374, 메디스퀘어 1동 4층 403호 (서인동)",031-676-1121,127.2683648,37.0075246
연세안과의원,경기,오산시,"경기도 오산시 오산로 209, 1층 102호 (오산동)",378-9111,127.0681826,37.1454049
연세올바른내과의원,경기,안성시,"경기도 안성시 공도읍 공도로 83, (공도읍)",031-647-0977,127.170316,36.9998013
연세우리소아청소년과의원,경기,오산시,"경기도 오산시 경기대로 178, 비전탑 201호 일부, 302호 (원동)",031-376-9637,127.073913,37.140645
연세우리아이소아청소년과의원,경기,평택시,"경기도 평택시 고덕국제5로 145, 310호~312호 (고덕동)",031-647-3699,127.0257893,37.0344178
연세원내과의원,경기,평택시,"경기도 평택시 통복로 46, 2,3층 (통복동)",031-651-9866,127.0833897,36.9960392
연세원내과의원,경기,오산시,"경기도 오산시 내삼미로 93, 백현프라자 3층 (수청동)",031-8077-2123,127.0657863,37.170536
연세으뜸정형외과의원,경기,오산시,"경기도 오산시 오산로 199, 401~403호 (오산동)",031-378-7525,127.0682933,37.1447035
연세의원,경기,안성시,"경기도 안성시 죽산면 서부길 4-2, (죽산면)",031-676-6875,127.4201543,37.0744438
연세재활의학과의원,경기,평택시,"경기도 평택시 평택로 41, (평택동)",031-656-5111,127.087098,36.9911233
연세재활의학과의원,경기,평택시,"경기도 평택시 서정역로 52-1, (서정동)",031-662-7877,127.0550006,37.0585921
연세정의원,경기,오산시,"경기도 오산시 오산로 300, 2,4층 (오산동)",031-374-3677,127.0688435,37.1537549
연세정이비인후과의원,경기,평택시,"경기도 평택시 평남로 937, 폴리프라자 5층 504호 (비전동)",031-652-1144,127.104453,37.0043914
연세정형외과의원,경기,오산시,"경기도 오산시 성호대로 121, 4층 (오산동, 월드타워)",031-372-7582,127.0748375,37.1490571
연세정형외과의원,경기,평택시,"경기도 평택시 평택1로 48, (비전동)",031-618-8300,127.0882351,36.9962295
연세제일의원,경기,평택시,"경기도 평택시 안중읍 안중로131번길 5, (안중읍)",031-683-2580,126.9309377,36.9891197
연세제일의원,경기,평택시,"경기도 평택시 탄현로 320, (지산동)",031-664-7577,127.0558676,37.0808352
연세참비뇨의학과의원,경기,평택시,"경기도 평택시 비전5로 37, 2층 201,202,205호 (비전동)",031-647-0925,127.1147039,37.0016056
연세튼튼신경외과의원,경기,안성시,"경기도 안성시 안성맞춤대로 1043, 2,4층 (서인동)",031-676-8275,127.2690215,37.0065918
연세튼튼재활의학과의원,경기,오산시,"경기도 오산시 내삼미로79번길 23, 라온누리빌딩 203호 (수청동)",031-378-8279,127.0643121,37.169778
연세패밀리의원,경기,평택시,"경기도 평택시 평택5로 30, (합정동)",031-656-2377,127.1117978,36.9884329
연세한빛외과의원,경기,평택시,"경기도 평택시 서정역로36번길 24-10, (이충동)",031-664-7525,127.057039,37.0570925
연세허브가정의학과의원,경기,평택시,"경기도 평택시 평택5로 191, 3층 (비전동)",031-647-6090,127.1028147,36.9964689
열린성모외과의원,경기,평택시,"경기도 평택시 송탄로371번길 17, (지산동)",031-665-6194,127.056727,37.0767005
열린성모이비인후과의원,경기,평택시,"경기도 평택시 동삭1로22번길 19-21, 3층 302호 (동삭동)",031-653-8275,127.0932609,37.0208985
열린의원,경기,평택시,"경기도 평택시 관광특구로 18, 5층 (서정동)",031-662-2032,127.0607184,37.0667008
염&박비뇨기과의원,경기,평택시,"경기도 평택시 평택2로20번길 31, 5층 (평택동)",031-655-9875,127.089913,36.9919406
영제의원,경기,평택시,"경기도 평택시 중앙로 7-1, (통복동)",031-652-8401,127.0841984,36.9955585
예가정의학과의원,경기,오산시,"경기도 오산시 수청로 201, 402호 (금암동, 센타프라자)",031-376-6300,127.0445545,37.1763951
예소람의원,경기,안성시,"경기도 안성시 중앙로 380, 3층 (서인동)",031-674-8275,127.2688834,37.0075104
예인피부과의원,경기,평택시,"경기도 평택시 경기대로 271, 패밀리타운 2층 (비전동)",031-654-4476,127.1127586,36.995035
예일산부인과의원,경기,평택시,"경기도 평택시 중앙로 146-1, (합정동)",031-656-3885,127.0991649,36.9921994
오늘은안아픈의원,경기,오산시,"경기도 오산시 세마문학로 50, (지곶동, e편한세상)",031-376-7578,127.0278577,37.1683157
오라클피부과의원,경기,오산시,"경기도 오산시 대원로 10, 서울내과의원 3층 (원동)",031-374-0064,127.0694857,37.1462665
오렌지안과의원,경기,평택시,"경기도 평택시 서동대로 3879, 4층 403호 (용이동)",031-618-9123,127.1378517,36.9942774
오산고려내과의원,경기,오산시,"경기도 오산시 궐리사로 57, 2,3층 (궐동, 서윤빌딩)",031-372-5868,127.0587734,37.1595245
오산다원의료소비자생활협동조합 참조은의원,경기,오산시,"경기도 오산시 동부대로 332-13, 가동 2층 201~205호, 3층 (고현동)",031-831-3690,127.0790798,37.1320824
오산마취통증의학과의원,경기,오산시,"경기도 오산시 성호대로 89, 3층 305호 (오산동, 세명프라자)",031-377-8700,127.0713995,37.1491526
오산맑은피부과의원,경기,오산시,"경기도 오산시 대원로 8, 1층 (원동)",031-377-0041,127.0691658,37.1462949
오산뷰티온의원,경기,오산시,"경기도 오산시 내삼미로79번길 23, 102~110호 (수청동)",031-376-6825,127.0643121,37.169778
오산산부인과의원,경기,오산시,"경기도 오산시 경기대로 154, 5층 505~506호 (원동)",031-374-8555,127.0738662,37.1384985
오산성심의원,경기,오산시,"경기도 오산시 경기대로 268, (원동)",031-372-1115,127.0739754,37.1485609
오산시민의원,경기,오산시,"경기도 오산시 오산로 235, 메디타워 3층 (오산동)",031-378-6402,127.0682606,37.1479851
오산프리모의원,경기,오산시,"경기도 오산시 성호대로 89, 304호 (오산동, 세명프라자)",031-373-5740,127.0713995,37.1491526
오산현대의원,경기,오산시,"경기도 오산시 운암로 92, 206호 (부산동, 오산운암3단지주공아파트)",031-377-7009,127.0778262,37.1544294
오산현대정형외과의원,경기,오산시,"경기도 오산시 경기대로 152, 2층 (원동, 농협)",031-375-1667,127.0737706,37.1380331
오산현안과 의원,경기,오산시,"경기도 오산시 오산로 241-1, (오산동)",031-374-0493,127.0683061,37.1485324
오성제일의원,경기,평택시,"경기도 평택시 오성면 숙성시장길 34, (오성면)",031-682-2733,126.9816439,37.0074117
오앤유내과영상의학과의원,경기,평택시,"경기도 평택시 이충로35번길 20-9, 2층 (이충동, 이충센타프라자)",031-665-0852,127.0664844,37.0603587
오영수의다나의원,경기,평택시,"경기도 평택시 탄현로336번길 10, 2층 (지산동)",031-665-8275,127.0568371,37.0816793
오제호내과의원,경기,평택시,"경기도 평택시 탄현로327번길 4, (신장동)",031-668-1675,127.0558289,37.081665
오즈신경과의원,경기,오산시,"경기도 오산시 대원로 6, 4층 (원동, 역전빌딩)",031-375-0777,127.0689925,37.1461121
오케이365정형외과의원,경기,오산시,"경기도 오산시 오산로 244, 2,3층 (오산동)",031-373-7580,127.0686766,37.1486574
오케이성모내과의원,경기,오산시,"경기도 오산시 오산로 244, 4층 (오산동)",031-8067-6888,127.0686715,37.1486399
온가족소아청소년과의원,경기,오산시,"경기도 오산시 문시로 183-4, 더샵프라자 2층 206-208호 (외삼미동)",031-8077-2658,127.0673341,37.1907964
올리브의원,경기,안성시,"경기도 안성시 중앙로 312, (석정동)",031-671-7585,127.2623222,37.0102862
우리든든내과의원,경기,평택시,"경기도 평택시 세교8길 30, 세교디오네프라자 5층 506호, 507호 (세교동)",031-616-7070,127.0907222,37.0090505
우리들소아청소년과의원,경기,안성시,"경기도 안성시 공도읍 서동대로 4081, (주은풍림상가2층)",031-654-6700,127.1597072,36.9981375
우리들외과의원,경기,평택시,"경기도 평택시 서정역로 22, (서정동)",031-662-2422,127.0558206,37.0560657
우리들의원,경기,안성시,"경기도 안성시 죽산면 죽주로 271, (죽산면)",671-0098,127.4251495,37.0759018
우리메디의원,경기,평택시,"경기도 평택시 중앙2로 16, 2층 202호 (평택동)",031-682-4999,127.0886221,36.9914681
우리신경외과의원,경기,평택시,"경기도 평택시 원평로105번길 42, (통복동)",031-654-0011,127.0780499,36.993407
우리의원,경기,오산시,"경기도 오산시 오산로 349, (궐동)",031-376-6511,127.0668691,37.157871
우리의원,경기,안성시,"경기도 안성시 장기로 38, (인지동)",031-671-7511,127.2675434,37.0056991
우리정형외과의원,경기,오산시,"경기도 오산시 오산로 303, (오산동)",031-374-2211,127.0684093,37.153943
우먼필산부인과의원,경기,오산시,"경기도 오산시 대원로 34, (원동)",031-378-5950,127.0722141,37.1461261
워치타워부속의원,경기,안성시,"경기도 안성시 공도읍 신두만곡로 73, 워치타워성서책자협회 가동 1층",690-0033,127.1956662,37.000922
웰봄내과의원,경기,오산시,"경기도 오산시 경기대로 534, 4층 (수청동)",031-8077-2124,127.0640749,37.1706269
웰의원,경기,안성시,"경기도 안성시 중앙로 368, 3층 (석정동, 모아빌딩)",671-6400,127.2676156,37.0077318
유앤아이의원,경기,평택시,"경기도 평택시 평남로 862, 2층 201호 (비전동)",031-647-6618,127.1114954,37.0004749
유준상가정의학과의원,경기,오산시,"경기도 오산시 양산로410번길 12, 306호 (양산동, 엠스퀘어빌딩)",031-377-9922,127.0301703,37.1953895
유키즈소아청소년과의원,경기,평택시,"경기도 평택시 지제동삭1로 208, 3층 (동삭동)",031-8054-7500,127.0889023,37.0171554
유희범소아과의원,경기,안성시,"경기도 안성시 중앙로 370, 3층 (석정동, 하평플리스)",031-675-5500,127.2678542,37.0076411
윤정신건강의학과의원,경기,평택시,"경기도 평택시 평택2로 49, (비전동)",031-652-9497,127.0904477,36.995138
으랏차정형외과의원,경기,평택시,"경기도 평택시 중앙로 120-1, (합정동)",031-653-2775,127.0963823,36.9928029
은가정의학과의원,경기,평택시,"경기도 평택시 고덕면 궁2길 67, 그레이스프라자 2층 203호",031-665-1275,127.0343905,37.0180474
의료법인 열린의료재단 푸른의원,경기,평택시,"경기도 평택시 중앙2로 13, 6층 (평택동, 센텀스카이)",031-658-8077,127.0886955,36.9919135
의료법인양진의료재단 성모아이들의원,경기,평택시,"경기도 평택시 평택5로 65, (비전동)",031-651-0707,127.1111376,36.9919482
이광옥소아청소년과의원,경기,평택시,"경기도 평택시 안중읍 안현로서8길 57, 2층 212,212-1호",031-682-8773,126.9194166,36.9790824
이근찬내과의원,경기,오산시,"경기도 오산시 성호대로 122, (오산동)",031-374-9221,127.0748084,37.1485109
이동석내과의원,경기,평택시,"경기도 평택시 세교3로 8, 201호 (세교동, 현대아파트상가)",031-651-9111,127.0796605,37.0011742
이동훈내과의원,경기,평택시,"경기도 평택시 서정역로 42, (서정동)",031-662-9022,127.0557849,37.0579367
이상대산부인과의원,경기,평택시,"경기도 평택시 평택2로 23, (평택동)",031-652-7489,127.0888904,36.9935197
이선경산부인과의원,경기,안성시,"경기도 안성시 중앙로379번길 29, (대천동)",031-674-2251,127.2691234,37.0089308
이선미산부인과의원,경기,평택시,"경기도 평택시 중앙로 20, (평택동)",031-658-5591,127.0853777,36.9950076
이성미베스트의원,경기,평택시,"경기도 평택시 평택4로 52, 2층 (비전동, 동아빌딩)",031-656-7529,127.1012162,36.992388
이승균이비인후과의원,경기,평택시,"경기도 평택시 안중읍 안현로 417, 세정빌딩 1층",031-681-3347,126.9312741,36.9873103
이승훈내과의원,경기,평택시,"경기도 평택시 중앙로 198, (합정동)",031-656-7676,127.1048477,36.9909868
이안과의원,경기,평택시,"경기도 평택시 중앙2로 19, (평택동)",031-655-5800,127.0892466,36.9918474
이외과의원,경기,평택시,"경기도 평택시 통복시장로6번길 18-3, 1층 (통복동)",654-2521,127.0860787,36.9953778
이정래산부인과의원,경기,평택시,"경기도 평택시 비전5로 20-26, 로데오1103더테라스 301호 (비전동)",031-8054-0015,127.1146146,36.9988462
이종광이비인후과의원,경기,평택시,"경기도 평택시 탄현로327번길 2, (신장동)",031-662-8787,127.0558849,37.0817301
이호수내과의원,경기,오산시,"경기도 오산시 경기대로 174, 304,305호 (원동, 다모아프라자)",031-375-7570,127.0737962,37.1402822
일죽제일의원,경기,안성시,"경기도 안성시 일죽면 주래본죽로 18, 18",031-674-0470,127.4765644,37.0939069
임가정의원,경기,평택시,"경기도 평택시 포승읍 여술로 21, 2층 (선구빌딩)",031-683-0516,126.8450402,36.9882867
임영묵이비인후과의원,경기,안성시,"경기도 안성시 중앙로 388, (서인동)",031-672-9738,127.2699228,37.0072996
잇츠미의원,경기,평택시,"경기도 평택시 고덕국제대로 94, 우성고덕타워 3층 305호~309호 (고덕동)",,127.0442027,37.045272
잇츠미의원,경기,안성시,"경기도 안성시 중앙로 366, 크리스탈빌딩 3층 1,2,3호 (석정동)",031-675-1020,127.2674027,37.0077855
자애의원,경기,안성시,"경기도 안성시 일죽면 금일로 465-10, (일죽면)",674-1198,127.4780004,37.0933754
장승호이비인후과의원,경기,오산시,"경기도 오산시 오산로 214, (원동)",031-376-0121,127.0686558,37.1459635
장영외과의원,경기,평택시,"경기도 평택시 경기대로 1286, 1층 (이충동, 명성빌딩)",031-611-8275,127.0649855,37.059883
장응서내과의원,경기,평택시,"경기도 평택시 안중읍 안중로 137, (안중읍)",031-681-1511,126.9317364,36.9890273
장의원,경기,평택시,"경기도 평택시 안중읍 안중로 126, (안중읍)",031-681-5111,126.9304817,36.9886089
장이비인후과의원,경기,평택시,"경기도 평택시 평택2로20번길 4, (평택동)",031-652-6932,127.0886264,36.9928926
장편한현내과의원,경기,오산시,"경기도 오산시 경기대로 154, 2층 220~224호 (원동)",031-373-4761,127.0738662,37.1384985
재우산부인과의원,경기,평택시,"경기도 평택시 탄현로 317, 4층 (신장동)",031-662-0001,127.0552674,37.0807577
전성훈내과의원,경기,오산시,"경기도 오산시 대원로 6, 2층 (원동)",031-372-8665,127.0689925,37.1461121
정동국내과의원,경기,평택시,"경기도 평택시 탄현로 340, (지산동)",031-662-8828,127.0570897,37.0823031
정비뇨기과의원,경기,평택시,"경기도 평택시 탄현로327번길 6, 2,3층 (신장동)",031-663-3311,127.0556849,37.0816034
정이비인후과의원,경기,평택시,"경기도 평택시 경기대로 1365, 2층 (서정동)",031-663-5075,127.0636646,37.0670039
제이에스의원,경기,평택시,"경기도 평택시 청북읍 안청로 332, 한남프라자 401호",031-686-7511,126.9159078,37.0175045
제일비뇨기과의원,경기,평택시,"경기도 평택시 서정역로 38, (서정동, 파크랜드 2층)",031-657-1133,127.0560206,37.0576039
조은소리이비인후과의원,경기,오산시,"경기도 오산시 대원로 3, 2층 (오산동)",031-377-6672,127.0688496,37.1465956
좋은샘가정의학과의원,경기,평택시,"경기도 평택시 지산로 85, 2층 (독곡동, 우남빌딩)",031-668-9411,127.0642576,37.0806276
중앙메디칼의원,경기,오산시,"경기도 오산시 한신대길 117, (양산동)",031-376-8575,127.0234225,37.1964025
중앙외과의원,경기,안성시,"경기도 안성시 일죽면 금일로 460, (일죽면)",031-675-0068,127.4783253,37.0925986
중앙의원,경기,안성시,"경기도 안성시 대덕면 서동대로 4723, 3층",031-675-8968,127.2255919,37.0131929
중앙의원,경기,평택시,"경기도 평택시 탄현로 317, (신장동)",031-663-3369,127.0552674,37.0807577
지엔산부인과의원,경기,평택시,"경기도 평택시 비전5로 3, (비전동)",,127.111611,36.9999179
지엔연세소아청소년과의원,경기,평택시,"경기도 평택시 비전5로 3, 1층 근생01호 (비전동)",031-663-0025,127.111611,36.9999179
